Time Difference (s),Nodes,State,Backfilled
43200,0,CANCELLED by 13746,no
43200,0,CANCELLED by 13746,no
43200,0,CANCELLED by 13746,no
3600,0,CANCELLED by 11685,no
-19,1K,TIMEOUT,yes
93,2500,COMPLETED,yes
-11,2K,TIMEOUT,no
1382,2050,COMPLETED,no
21117,1K,FAILED,yes
34928,2K,COMPLETED,no
31021,1K,COMPLETED,no
6778,4K,COMPLETED,yes
1799,2500,COMPLETED,yes
489,2500,COMPLETED,yes
175,2500,COMPLETED,yes
4966,2500,FAILED,yes
4239,2500,FAILED,yes
5824,2500,FAILED,yes
2134,2500,FAILED,yes
5333,2500,FAILED,yes
1775,2500,COMPLETED,yes
5496,2500,FAILED,yes
-5,512,TIMEOUT,yes
-7,512,TIMEOUT,yes
-21,9000,TIMEOUT,no
-16,2K,TIMEOUT,yes
-11,128,TIMEOUT,yes
3600,0,CANCELLED by 16795,no
1800,0,CANCELLED by 16795,no
5400,0,CANCELLED by 16795,no
10283,144,CANCELLED by 13746,yes
-21,144,TIMEOUT,yes
-18,144,TIMEOUT,yes
5550,2500,FAILED,yes
5869,2500,FAILED,yes
5779,2500,FAILED,yes
490,2500,COMPLETED,yes
5736,2500,NODE_FAIL,yes
1799,2500,COMPLETED,yes
5530,2500,FAILED,yes
5044,2500,FAILED,yes
444,2500,COMPLETED,yes
1789,2500,COMPLETED,yes
17747,2000,FAILED,yes
-22,2064,TIMEOUT,yes
3600,0,CANCELLED by 16795,no
1800,0,CANCELLED by 16795,no
5400,0,CANCELLED by 16795,no
1800,0,CANCELLED by 16795,no
3600,0,CANCELLED by 16795,no
43196,2023,FAILED,yes
-5,1K,TIMEOUT,yes
-19,2K,TIMEOUT,yes
-18,5760,TIMEOUT,no
32388,4K,NODE_FAIL,no
-19,7500,TIMEOUT,yes
9000,0,CANCELLED by 58260,no
10384,4000,COMPLETED,no
9464,1500,FAILED,yes
42533,1500,NODE_FAIL,yes
32140,1500,FAILED,yes
0,4000,TIMEOUT,no
21594,150,FAILED,yes
21596,150,FAILED,yes
21596,150,FAILED,yes
21596,150,FAILED,yes
21598,150,FAILED,yes
21596,150,FAILED,yes
21597,150,FAILED,yes
21597,150,FAILED,yes
21598,150,FAILED,yes
21596,150,FAILED,yes
21596,150,FAILED,yes
21596,150,FAILED,yes
21595,150,FAILED,yes
21597,150,FAILED,yes
21597,150,FAILED,yes
21596,150,FAILED,yes
21597,150,FAILED,yes
21598,150,FAILED,yes
3003,2304,COMPLETED,yes
2449,2304,COMPLETED,yes
-5,256,TIMEOUT,yes
9000,0,CANCELLED by 58260,no
-2,8000,TIMEOUT,no
-2,8000,TIMEOUT,no
42908,8000,FAILED,no
9000,0,CANCELLED by 58260,no
37803,5920,NODE_FAIL,no
1381,992,COMPLETED,yes
461,992,COMPLETED,yes
345,2136,COMPLETED,yes
323,2136,COMPLETED,yes
42869,2136,COMPLETED,yes
2563,2304,COMPLETED,yes
8316,2304,NODE_FAIL,yes
-1,1464,TIMEOUT,yes
-24,1464,TIMEOUT,no
-8,1464,TIMEOUT,no
42543,1464,NODE_FAIL,no
9000,0,CANCELLED by 58260,no
41206,4000,NODE_FAIL,no
43194,2136,FAILED,yes
43200,0,CANCELLED by 8445,no
43173,2K,FAILED,yes
17929,5920,CANCELLED by 18513,no
9000,0,CANCELLED by 58260,no
1200,0,CANCELLED by 16795,no
10192,4000,NODE_FAIL,no
-2,208,TIMEOUT,yes
-13,208,TIMEOUT,yes
-24,208,TIMEOUT,yes
-21,208,TIMEOUT,yes
-21,208,TIMEOUT,yes
24254,192,NODE_FAIL,yes
43200,0,CANCELLED by 16548,no
2285,2304,COMPLETED,yes
1519,2304,COMPLETED,yes
-23,8K,TIMEOUT,yes
1565,8K,FAILED,no
20199,2K,FAILED,yes
8002,2304,NODE_FAIL,yes
8449,2304,COMPLETED,yes
7889,1500,COMPLETED,yes
4433,1500,COMPLETED,yes
6142,1500,NODE_FAIL,yes
11604,1500,COMPLETED,no
8690,1500,COMPLETED,no
4874,1500,FAILED,yes
157,7500,COMPLETED,yes
1549,8K,FAILED,no
1565,9248,FAILED,no
21857,4000,NODE_FAIL,no
43200,0,CANCELLED by 15694,no
1584,8K,FAILED,yes
-11,8K,TIMEOUT,yes
10309,7000,COMPLETED,no
2188,7760,COMPLETED,no
8562,2304,COMPLETED,yes
-4,1794,TIMEOUT,yes
-25,2136,TIMEOUT,yes
470,2136,COMPLETED,yes
415,2136,COMPLETED,yes
43175,961,FAILED,yes
43138,2K,FAILED,yes
43176,961,FAILED,yes
37182,1K,CANCELLED by 13779,yes
42,7000,COMPLETED,yes
8458,2304,COMPLETED,yes
28796,512,FAILED,yes
-6,512,TIMEOUT,yes
-24,512,TIMEOUT,yes
4624,512,COMPLETED,yes
4830,512,COMPLETED,yes
10529,4000,COMPLETED,no
10001,1K,COMPLETED,yes
10612,1K,COMPLETED,yes
7884,2K,COMPLETED,yes
18427,150,COMPLETED,yes
20529,150,COMPLETED,yes
