job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
0,w0,2_failed_1_0,1.000000,4,100.000000,0,COMPLETED_FAILED,1.001200,0.024600,1.025800,0.001200,0.025800,1.048781,0-3,-1.000000,""
1,w0,2,10.000000,4,100.000000,1,COMPLETED_SUCCESSFULLY,10.001800,0.024600,10.026400,0.001800,0.026400,1.073172,0-3,-1.000000,""
2,w0,1_failed_99_1,100.000000,4,100.000000,0,COMPLETED_FAILED,100.001800,0.160600,100.162400,0.001800,0.162400,1.011208,0-3,-1.000000,""
3,w0,1_failed_99_1,1000.000000,4,3.000000,0,COMPLETED_FAILED,1000.001800,0.160600,1000.162400,0.001800,0.162400,1.011208,0-3,-1.000000,""
4,w0,1_failed_99_1,10000.000000,4,100.000000,0,COMPLETED_FAILED,10000.001800,0.160600,10000.162400,0.001800,0.162400,1.011208,0-3,-1.000000,""
5,w0,4,100000.000000,1,30.000000,1,COMPLETED_SUCCESSFULLY,100000.001800,20.200000,100020.201800,0.001800,20.201800,1.000089,0,-1.000000,""
6,w0,4,1000000.000000,1,30.000000,1,COMPLETED_SUCCESSFULLY,1000000.001800,20.200000,1000020.201800,0.001800,20.201800,1.000089,0,-1.000000,""
7,w0,4,10000000.000000,1,30.000000,1,COMPLETED_SUCCESSFULLY,10000000.001800,20.200000,10000020.201800,0.001800,20.201800,1.000089,0,-1.000000,""
8,w0,4,100000000.000000,1,30.000000,1,COMPLETED_SUCCESSFULLY,100000000.001800,20.200000,100000020.201800,0.001800,20.201800,1.000089,0,-1.000000,""
9,w0,4_failed_1_2,1000000000.000000,1,30.000000,0,COMPLETED_FAILED,1000000000.001800,20.200000,1000000020.201800,0.001800,20.201800,1.000089,0,-1.000000,""
10,w0,4,10000000000.000000,1,30.000000,1,COMPLETED_SUCCESSFULLY,10000000000.001799,20.200001,10000000020.201799,0.001799,20.201799,1.000089,0,-1.000000,""
11,w0,4,100000000000.000000,1,30.000000,1,COMPLETED_SUCCESSFULLY,100000000000.001801,20.199997,100000000020.201797,0.001801,20.201797,1.000089,0,-1.000000,""
12,w0,4_failed_1_2,1000000000000.000000,1,30.000000,0,COMPLETED_FAILED,1000000000000.001831,20.199951,1000000000020.201782,0.001831,20.201782,1.000091,0,-1.000000,""
13,w0,4_failed_99_3,10000000000000.000000,1,30.000000,0,COMPLETED_FAILED,10000000000000.001953,20.199219,10000000000020.201172,0.001953,20.201172,1.000097,0,-1.000000,""
14,w0,4,100000000000000.000000,1,30.000000,1,COMPLETED_SUCCESSFULLY,100000000000000.000000,20.203125,100000000000020.203125,0.000000,20.203125,1.000000,0,-1.000000,""
15,w0,4_failed_99_3,1000000000000000.000000,1,30.000000,0,COMPLETED_FAILED,1000000000000000.000000,20.250000,1000000000000020.250000,0.000000,20.250000,1.000000,0,-1.000000,""
16,w0,4_failed_1_2,10000000000000000.000000,1,30.000000,0,COMPLETED_FAILED,10000000000000000.000000,20.000000,10000000000000020.000000,0.000000,20.000000,1.000000,0,-1.000000,""
17,w0,4,100000000000000000.000000,1,30.000000,1,COMPLETED_SUCCESSFULLY,100000000000000000.000000,16.000000,100000000000000016.000000,0.000000,16.000000,1.000000,0,-1.000000,""
