time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
1.0012,0,0,0,508,4
1.0258,0,0,0,512,0
10.0018,0,0,0,508,4
10.0264,0,0,0,512,0
100.002,0,0,0,508,4
100.162,0,0,0,512,0
1000,0,0,0,508,4
1000.16,0,0,0,512,0
10000,0,0,0,508,4
10000.2,0,0,0,512,0
100000,0,0,0,511,1
100020,0,0,0,512,0
1e+06,0,0,0,511,1
1.00002e+06,0,0,0,512,0
1e+07,0,0,0,511,1
1e+07,0,0,0,512,0
1e+08,0,0,0,511,1
1e+08,0,0,0,512,0
1e+09,0,0,0,511,1
1e+09,0,0,0,512,0
1e+10,0,0,0,511,1
1e+10,0,0,0,512,0
1e+11,0,0,0,511,1
1e+11,0,0,0,512,0
1e+12,0,0,0,511,1
1e+12,0,0,0,512,0
1e+13,0,0,0,511,1
1e+13,0,0,0,512,0
1e+14,0,0,0,511,1
1e+14,0,0,0,512,0
1e+15,0,0,0,511,1
1e+15,0,0,0,512,0
1e+16,0,0,0,511,1
1e+16,0,0,0,512,0
1e+17,0,0,0,511,1
1e+17,0,0,0,512,0
